"Year","Species","Yield_base"
1999,"SILVER HAKE",1868183867.26235
2000,"SILVER HAKE",1127167884.3023
2001,"SILVER HAKE",1119239946.88391
2002,"SILVER HAKE",369461796.005475
2003,"SILVER HAKE",215655287.720899
2004,"SILVER HAKE",124172386.422694
2005,"SILVER HAKE",70742513.5679085
2006,"SILVER HAKE",39949871.1491026
2007,"SILVER HAKE",22393674.6769553
2008,"SILVER HAKE",12473836.364835
2009,"SILVER HAKE",6910976.61493801
2010,"SILVER HAKE",3811284.00632966
1970,"SPINY DOGFISH",63665611.9485617
1971,"SPINY DOGFISH",63439386.2550493
1972,"SPINY DOGFISH",64830040.5045083
1973,"SPINY DOGFISH",66213298.3312279
1974,"SPINY DOGFISH",67540040.0879237
1975,"SPINY DOGFISH",52018146.9462411
1976,"SPINY DOGFISH",36689868.1505878
1977,"SPINY DOGFISH",21475745.2466815
1978,"SPINY DOGFISH",8800749.57009528
1979,"SPINY DOGFISH",17758091.5407313
1980,"SPINY DOGFISH",47014008.4113216
1981,"SPINY DOGFISH",28709176.0212165
1982,"SPINY DOGFISH",13749743.0447769
1983,"SPINY DOGFISH",9249311.8064367
1984,"SPINY DOGFISH",20408177.2638939
1985,"SPINY DOGFISH",17091832.7466727
1986,"SPINY DOGFISH",15860917.8701375
1987,"SPINY DOGFISH",23656640.1393737
1988,"SPINY DOGFISH",2425148.52085212
1989,"SPINY DOGFISH",2817520.5149136
1990,"SPINY DOGFISH",9451537.71225171
1991,"SPINY DOGFISH",22497832.5854505
1992,"SPINY DOGFISH",32097633.2310268
1993,"SPINY DOGFISH",18017642.0179049
1994,"SPINY DOGFISH",955611.266012437
1995,"SPINY DOGFISH",19168928.3752542
1996,"SPINY DOGFISH",27534687.4395952
1997,"SPINY DOGFISH",2743530.0474139
1998,"SPINY DOGFISH",4066836.60599552
1999,"SPINY DOGFISH",3088791.00625904
2000,"SPINY DOGFISH",5052998.20980758
2001,"SPINY DOGFISH",8509562.97851741
2002,"SPINY DOGFISH",1483744.86762677
2003,"SPINY DOGFISH",1476035.65862251
2004,"SPINY DOGFISH",1466515.84962529
2005,"SPINY DOGFISH",1455146.73370004
2006,"SPINY DOGFISH",1441954.97330117
2007,"SPINY DOGFISH",1427028.63975906
2008,"SPINY DOGFISH",1410508.57591303
2009,"SPINY DOGFISH",1392574.07061512
2010,"SPINY DOGFISH",1373425.56782673
1970,"WHITE HAKE",2364999489.85351
1971,"WHITE HAKE",4203715364.67301
1972,"WHITE HAKE",895422819.340983
1973,"WHITE HAKE",967079574.154054
1974,"WHITE HAKE",426680281.352869
1975,"WHITE HAKE",292272109.242743
1976,"WHITE HAKE",360469781.357734
1977,"WHITE HAKE",1132505123.23741
1978,"WHITE HAKE",1479093792.49865
1979,"WHITE HAKE",361678782.039093
1980,"WHITE HAKE",3773331885.65434
1981,"WHITE HAKE",4230910764.04707
1982,"WHITE HAKE",2432154131.76405
1983,"WHITE HAKE",1549086522.6611
1984,"WHITE HAKE",1060112625.34971
1985,"WHITE HAKE",884861253.48772
1986,"WHITE HAKE",1932691887.63661
1987,"WHITE HAKE",109718979.172186
1988,"WHITE HAKE",213921169.396651
1989,"WHITE HAKE",682752188.796359
1990,"WHITE HAKE",509197090.154367
1991,"WHITE HAKE",655342099.802922
1992,"WHITE HAKE",810356014.021291
1993,"WHITE HAKE",144352707.474831
1994,"WHITE HAKE",11185428.295215
1995,"WHITE HAKE",5660106.15257895
1996,"WHITE HAKE",17916744.6030395
1997,"WHITE HAKE",15228970.3564747
1998,"WHITE HAKE",12321932.4015423
1999,"WHITE HAKE",11946286.3267588
2000,"WHITE HAKE",11505968.5450967
2001,"WHITE HAKE",23790869.8747294
2002,"WHITE HAKE",2776278.76861157
2003,"WHITE HAKE",2778138.47892227
2004,"WHITE HAKE",2773289.12092363
2005,"WHITE HAKE",2762704.23034509
2006,"WHITE HAKE",2747236.02666464
2007,"WHITE HAKE",2727614.90810681
2008,"WHITE HAKE",2704466.91060275
2009,"WHITE HAKE",2678330.00171226
2010,"WHITE HAKE",2649665.54607173
1970,"WITCH FLOUNDER",4570651647.68218
1971,"WITCH FLOUNDER",4618820344.88189
1972,"WITCH FLOUNDER",6778269612.99543
1973,"WITCH FLOUNDER",4718867866.59926
1974,"WITCH FLOUNDER",3999677128.13635
1975,"WITCH FLOUNDER",3343905572.95477
1976,"WITCH FLOUNDER",3090359285.76106
1977,"WITCH FLOUNDER",981873752.477427
1978,"WITCH FLOUNDER",1762166673.43972
1979,"WITCH FLOUNDER",1953998623.6149
1980,"WITCH FLOUNDER",3133846066.37663
1981,"WITCH FLOUNDER",1715984870.6701
1982,"WITCH FLOUNDER",1331218897.69215
1983,"WITCH FLOUNDER",1421215508.23615
1984,"WITCH FLOUNDER",2021132219.72112
1985,"WITCH FLOUNDER",2879691499.93366
1986,"WITCH FLOUNDER",3540864482.87577
1987,"WITCH FLOUNDER",4258746732.08619
1988,"WITCH FLOUNDER",4409731928.11768
1989,"WITCH FLOUNDER",4043001349.8785
1990,"WITCH FLOUNDER",4260302500.85566
1991,"WITCH FLOUNDER",4690522103.55562
1992,"WITCH FLOUNDER",4878288393.05746
1993,"WITCH FLOUNDER",691768991.848469
1994,"WITCH FLOUNDER",17389875.0997895
1995,"WITCH FLOUNDER",21808552.7045261
1996,"WITCH FLOUNDER",19598439.3487794
1997,"WITCH FLOUNDER",10413225.3341975
1998,"WITCH FLOUNDER",18317026.1965618
1999,"WITCH FLOUNDER",20865703.1580964
2000,"WITCH FLOUNDER",18107136.162956
2001,"WITCH FLOUNDER",74988143.2016945
2002,"WITCH FLOUNDER",9016003.04193637
2003,"WITCH FLOUNDER",4499945.13002975
2005,"WITCH FLOUNDER",215063.386259664
2006,"WITCH FLOUNDER",424085.671438098
2007,"WITCH FLOUNDER",625024.070717265
2008,"WITCH FLOUNDER",459146.630977232
2009,"WITCH FLOUNDER",298975.269118463
2010,"WITCH FLOUNDER",145638.990675346
1970,"YELLOWTAIL FLOUNDER",2434408113.71324
1971,"YELLOWTAIL FLOUNDER",2559196188.02575
1972,"YELLOWTAIL FLOUNDER",3921313977.71038
1973,"YELLOWTAIL FLOUNDER",3521820729.31904
1974,"YELLOWTAIL FLOUNDER",3128405989.11517
1975,"YELLOWTAIL FLOUNDER",2514622149.25321
1976,"YELLOWTAIL FLOUNDER",2208625676.61443
1977,"YELLOWTAIL FLOUNDER",738063702.601485
1978,"YELLOWTAIL FLOUNDER",1140224375.94104
1979,"YELLOWTAIL FLOUNDER",1326683823.97425
1980,"YELLOWTAIL FLOUNDER",2427953977.64226
1981,"YELLOWTAIL FLOUNDER",1960280535.93642
1982,"YELLOWTAIL FLOUNDER",1781128847.40336
1983,"YELLOWTAIL FLOUNDER",1642093083.08203
1984,"YELLOWTAIL FLOUNDER",1532574178.50064
1985,"YELLOWTAIL FLOUNDER",1441068186.60353
1986,"YELLOWTAIL FLOUNDER",1354631572.27743
1987,"YELLOWTAIL FLOUNDER",1396384070.98365
1988,"YELLOWTAIL FLOUNDER",1331335202.51931
1989,"YELLOWTAIL FLOUNDER",1143635056.04564
1990,"YELLOWTAIL FLOUNDER",1138989700.72982
1991,"YELLOWTAIL FLOUNDER",1271034934.19261
1992,"YELLOWTAIL FLOUNDER",1467900181.36215
1993,"YELLOWTAIL FLOUNDER",250692125.672455
1994,"YELLOWTAIL FLOUNDER",5838352.30616962
1995,"YELLOWTAIL FLOUNDER",6549468.83093292
1996,"YELLOWTAIL FLOUNDER",5373718.4387457
1997,"YELLOWTAIL FLOUNDER",2647592.98062743
1998,"YELLOWTAIL FLOUNDER",4361263.48499869
1999,"YELLOWTAIL FLOUNDER",4684356.38706683
2000,"YELLOWTAIL FLOUNDER",3849137.08143254
2001,"YELLOWTAIL FLOUNDER",15137029.0886226
2002,"YELLOWTAIL FLOUNDER",1738289.98142911
2003,"YELLOWTAIL FLOUNDER",827218.382174367
2005,"YELLOWTAIL FLOUNDER",36112.3860768191
2006,"YELLOWTAIL FLOUNDER",68211.2419275201
2007,"YELLOWTAIL FLOUNDER",96426.4095034717
2008,"YELLOWTAIL FLOUNDER",68023.7424059062
2009,"YELLOWTAIL FLOUNDER",42578.6083519613
2010,"YELLOWTAIL FLOUNDER",19955.2332485339
