"Year","Species","Biomass_base"
1992,"HADDOCK",103111520246.341
1993,"HADDOCK",105207457821.952
1994,"HADDOCK",104529016203.351
1995,"HADDOCK",103523926066.237
1996,"HADDOCK",104769174872.468
1997,"HADDOCK",107014588967.275
1998,"HADDOCK",110340024284.882
1999,"HADDOCK",113351131815.529
2000,"HADDOCK",115734778372.118
2001,"HADDOCK",117697977532.129
2002,"HADDOCK",119291665074.411
2003,"HADDOCK",119477428329.614
2004,"HADDOCK",119418839942.422
2005,"HADDOCK",119159685475.556
2006,"HADDOCK",118738288571.998
2007,"HADDOCK",118187572980.422
2008,"HADDOCK",117535752865.599
2009,"HADDOCK",116806965166.478
2010,"HADDOCK",116021827798.206
1970,"SANDLANCES",65059377202.3887
1971,"SANDLANCES",66093892856.6092
1972,"SANDLANCES",71022747504.0603
1973,"SANDLANCES",76256104712.518
1974,"SANDLANCES",76320631894.8275
1975,"SANDLANCES",70744422555.2089
1976,"SANDLANCES",58856321286.4512
1977,"SANDLANCES",43432227153.3915
1978,"SANDLANCES",31012972679.4019
1979,"SANDLANCES",24413793416.4636
1980,"SANDLANCES",20208873258.4022
1981,"SANDLANCES",19586683699.8719
1982,"SANDLANCES",23893589228.4478
1983,"SANDLANCES",29563155116.1524
1984,"SANDLANCES",35021716855.7142
1985,"SANDLANCES",40262463711.4997
1986,"SANDLANCES",43973403433.1409
1987,"SANDLANCES",46929513378.1189
1988,"SANDLANCES",48097111611.0268
1989,"SANDLANCES",42211971361.6978
1990,"SANDLANCES",33337114608.2236
1991,"SANDLANCES",25123157669.1318
1992,"SANDLANCES",17978952565.1976
1993,"SANDLANCES",12685839859.7987
1994,"SANDLANCES",8458070125.10095
1995,"SANDLANCES",4811015478.1021
1996,"SANDLANCES",2320242339.42403
1997,"SANDLANCES",976256826.448711
1998,"SANDLANCES",363726857.772534
1999,"SANDLANCES",121662047.4299
2000,"SANDLANCES",37100513.4360633
2001,"SANDLANCES",10430210.7172892
2002,"SANDLANCES",2730808.08706221
2003,"SANDLANCES",667469.206048475
2004,"SANDLANCES",152162.120734897
2005,"SANDLANCES",32546.2301735796
2006,"SANDLANCES",6556.38345459926
2007,"SANDLANCES",1249.69655835158
2008,"SANDLANCES",226.481004712374
2009,"SANDLANCES",39.2225422573561
2010,"SANDLANCES",6.52491667471938
1970,"SILVER HAKE",60398768015.6296
1971,"SILVER HAKE",54291257343.3112
1972,"SILVER HAKE",47514082552.4281
1973,"SILVER HAKE",43094455550.5463
1974,"SILVER HAKE",40728738135.8574
1975,"SILVER HAKE",39087811977.8842
1976,"SILVER HAKE",54070083229.6779
1977,"SILVER HAKE",67091626019.7861
1978,"SILVER HAKE",78524971835.7138
1979,"SILVER HAKE",82799796857.0652
1980,"SILVER HAKE",73215589282.0901
1981,"SILVER HAKE",69702880037.8738
1982,"SILVER HAKE",90935408427.8475
1983,"SILVER HAKE",110905217620.533
1984,"SILVER HAKE",74496497152.132
1985,"SILVER HAKE",42948044304.1074
1986,"SILVER HAKE",47234567933.4357
1987,"SILVER HAKE",41230537605.2422
1988,"SILVER HAKE",53350835469.7175
1989,"SILVER HAKE",61949576099.043
1990,"SILVER HAKE",48819392647.6336
1991,"SILVER HAKE",45410179352.7508
1992,"SILVER HAKE",43246316780.9536
1993,"SILVER HAKE",41427621262.8932
1994,"SILVER HAKE",33483329998.3217
1995,"SILVER HAKE",30182082225.0199
1996,"SILVER HAKE",16631795808.3465
1997,"SILVER HAKE",8972414210.19967
1998,"SILVER HAKE",5190679509.71725
1999,"SILVER HAKE",3188906193.91603
2000,"SILVER HAKE",1950576717.80934
2001,"SILVER HAKE",1201011471.64014
2002,"SILVER HAKE",554468266.672356
2003,"SILVER HAKE",314683123.100887
2004,"SILVER HAKE",176705885.232154
2005,"SILVER HAKE",98673865.574991
2006,"SILVER HAKE",54756993.1432543
2007,"SILVER HAKE",30220375.7898714
2008,"SILVER HAKE",16600758.6805374
2009,"SILVER HAKE",9082741.7073889
2010,"SILVER HAKE",4952363.10853342
1970,"SPINY DOGFISH",7501855146.54018
1971,"SPINY DOGFISH",7476506053.98177
1972,"SPINY DOGFISH",7454608289.15358
1973,"SPINY DOGFISH",7434546663.1636
1974,"SPINY DOGFISH",7410674226.1722
1975,"SPINY DOGFISH",7380381109.05349
1976,"SPINY DOGFISH",7357438622.69176
1977,"SPINY DOGFISH",7337348271.1299
1978,"SPINY DOGFISH",7322464201.25154
1979,"SPINY DOGFISH",7318833798.12695
1980,"SPINY DOGFISH",7306536085.19412
1981,"SPINY DOGFISH",7266838072.95508
1982,"SPINY DOGFISH",7256615823.43303
1983,"SPINY DOGFISH",7267151445.30238
1984,"SPINY DOGFISH",7283609889.62816
