"Year","Species","Biomass_opt"
1972,"WITCH FLOUNDER",11437782578.2232
1973,"WITCH FLOUNDER",10335714741.7538
1974,"WITCH FLOUNDER",9720704350.28017
1975,"WITCH FLOUNDER",8760613980.32659
1976,"WITCH FLOUNDER",7526090349.64485
1977,"WITCH FLOUNDER",5979166657.71383
1978,"WITCH FLOUNDER",5773118123.38544
1979,"WITCH FLOUNDER",5261773693.70993
1980,"WITCH FLOUNDER",4859764174.12234
1981,"WITCH FLOUNDER",4365920234.05523
1982,"WITCH FLOUNDER",5523917809.09174
1983,"WITCH FLOUNDER",7455695618.40273
1984,"WITCH FLOUNDER",9411342259.18606
1985,"WITCH FLOUNDER",11127423752.9831
1986,"WITCH FLOUNDER",12645484831.7277
1987,"WITCH FLOUNDER",14239980806.3244
1988,"WITCH FLOUNDER",15409346347.1786
1989,"WITCH FLOUNDER",15447511350.9099
1990,"WITCH FLOUNDER",14880004854.5383
1991,"WITCH FLOUNDER",13999871641.0849
1992,"WITCH FLOUNDER",13020587468.3933
1993,"WITCH FLOUNDER",12377951236.1662
1994,"WITCH FLOUNDER",14584667581.4143
1995,"WITCH FLOUNDER",17386571603.5613
1996,"WITCH FLOUNDER",20231652518.7905
1997,"WITCH FLOUNDER",23505507563.2154
1998,"WITCH FLOUNDER",27574852531.5574
1999,"WITCH FLOUNDER",32476200549.4459
2000,"WITCH FLOUNDER",37906599978.5593
2001,"WITCH FLOUNDER",43271891230.8676
2002,"WITCH FLOUNDER",47888249092.2756
2003,"WITCH FLOUNDER",51762101857.1308
2004,"WITCH FLOUNDER",54552088738.3357
2005,"WITCH FLOUNDER",56116615005.3431
2006,"WITCH FLOUNDER",56444424860.213
2007,"WITCH FLOUNDER",55719177149.8137
2008,"WITCH FLOUNDER",54291333961.9146
2009,"WITCH FLOUNDER",52571472178.8509
2010,"WITCH FLOUNDER",50928452095.6094
1970,"YELLOWTAIL FLOUNDER",79682891359.1319
1971,"YELLOWTAIL FLOUNDER",79666457303.7552
1972,"YELLOWTAIL FLOUNDER",79638465042.3331
1973,"YELLOWTAIL FLOUNDER",78359469876.3934
1974,"YELLOWTAIL FLOUNDER",77347206563.245
1975,"YELLOWTAIL FLOUNDER",76489277722.044
1976,"YELLOWTAIL FLOUNDER",75844000767.925
1977,"YELLOWTAIL FLOUNDER",74974902908.6683
1978,"YELLOWTAIL FLOUNDER",75130099453.2839
1979,"YELLOWTAIL FLOUNDER",74696773434.9859
1980,"YELLOWTAIL FLOUNDER",73937459760.9156
1981,"YELLOWTAIL FLOUNDER",72157285884.5924
1982,"YELLOWTAIL FLOUNDER",71276409555.6388
1983,"YELLOWTAIL FLOUNDER",71033233636.7841
1984,"YELLOWTAIL FLOUNDER",71332054909.2783
1985,"YELLOWTAIL FLOUNDER",72138602828.6005
1986,"YELLOWTAIL FLOUNDER",73337789380.5972
1987,"YELLOWTAIL FLOUNDER",74827650467.0158
1988,"YELLOWTAIL FLOUNDER",75757638877.9059
1989,"YELLOWTAIL FLOUNDER",75875403488.2074
1990,"YELLOWTAIL FLOUNDER",75252067286.0085
1991,"YELLOWTAIL FLOUNDER",73851465203.6491
1992,"YELLOWTAIL FLOUNDER",71665007820.9248
1993,"YELLOWTAIL FLOUNDER",68832190563.1713
1994,"YELLOWTAIL FLOUNDER",66666204577.874
1995,"YELLOWTAIL FLOUNDER",64350674111.8468
1996,"YELLOWTAIL FLOUNDER",61770668477.8725
1997,"YELLOWTAIL FLOUNDER",59082473212.3393
1998,"YELLOWTAIL FLOUNDER",56409889951.1076
