"Year","Country","GearCode","Tonnage","MainSpecies","Divcode","Code","Effort","Catches","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","DateCreated"
1960,2,51,4,16,37,101,0,0,0,3,3,4,0,0,0,17,0,0,2,4,30/7/1996 0:00:00
1960,2,51,4,16,37,106,0,0,0,2,1,1,0,0,0,7,0,0,1,1,30/7/1996 0:00:00
1960,2,51,4,16,37,120,0,0,42,53,33,18,1,1,0,6,0,0,8,6,30/7/1996 0:00:00
1960,2,51,4,16,37,144,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30/7/1996 0:00:00
1960,2,51,4,16,37,186,0,0,0,0,1,1,0,0,0,0,0,0,9,4,30/7/1996 0:00:00
1960,2,51,4,16,37,188,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30/7/1996 0:00:00
1960,2,51,4,16,37,199,0,0,0,1,0,2,0,0,0,1,0,0,0,2,30/7/1996 0:00:00
1960,2,58,4,1,37,1,0,0,0,0,0,0,0,0,0,0,582,0,0,0,30/7/1996 0:00:00
1960,2,58,4,1,37,2,0,0,0,0,0,0,0,0,0,0,31,0,0,0,30/7/1996 0:00:00
1960,2,58,4,1,37,101,0,0,0,0,0,0,0,0,258,0,498,0,0,0,30/7/1996 0:00:00
1960,2,90,0,99,37,264,0,0,0,0,0,0,0,0,0,17,0,0,0,0,30/7/1996 0:00:00
1960,2,90,0,99,37,536,0,0,0,0,0,0,0,0,0,75,0,0,0,0,30/7/1996 0:00:00
1960,2,10,2,3,41,101,0,0,0,0,0,0,0,0,0,1,0,1,0,0,30/7/1996 0:00:00
1960,2,10,2,3,41,103,0,0,0,0,0,0,0,0,18,47,15,9,0,0,30/7/1996 0:00:00
1960,2,10,2,3,41,186,0,0,0,0,0,0,0,0,0,0,0,4,0,0,30/7/1996 0:00:00
1960,2,10,2,29,41,1,0,0,0,198,300,484,632,130,0,0,80,90,96,0,30/7/1996 0:00:00
1960,2,10,2,29,41,2,0,0,0,15,27,35,48,11,0,0,6,10,8,0,30/7/1996 0:00:00
1960,2,10,2,29,41,101,0,0,0,94,97,121,123,25,0,0,0,0,1,0,30/7/1996 0:00:00
1960,2,10,2,29,41,102,0,0,0,1,3,8,36,7,0,0,4,4,1,0,30/7/1996 0:00:00
1960,2,10,2,29,41,103,0,0,0,0,0,0,0,1,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,2,29,41,106,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,2,29,41,112,0,0,0,19,9,4,8,1,0,0,1,2,4,0,30/7/1996 0:00:00
1960,2,10,2,29,41,114,0,0,0,16,0,1,45,13,0,0,4,13,11,0,30/7/1996 0:00:00
1960,2,10,2,29,41,122,0,0,0,0,0,0,0,0,0,0,0,1,1,0,30/7/1996 0:00:00
1960,2,10,2,29,41,129,0,0,0,0,0,4,7,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,2,29,41,188,0,0,0,0,0,0,1,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,2,29,41,199,0,0,0,0,11,1,0,1,0,0,1,0,0,0,30/7/1996 0:00:00
1960,2,10,3,1,41,1,0,0,0,19,0,124,173,0,69,248,50,0,0,0,30/7/1996 0:00:00
1960,2,10,3,1,41,2,0,0,0,3,0,9,16,0,7,23,7,0,0,0,30/7/1996 0:00:00
1960,2,10,3,1,41,101,0,0,0,11,0,25,110,0,161,100,9,0,0,0,30/7/1996 0:00:00
1960,2,10,3,1,41,102,0,0,0,0,0,4,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,1,41,103,0,0,0,0,0,0,0,0,0,5,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,1,41,112,0,0,0,1,0,1,1,0,0,2,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,1,41,114,0,0,0,1,0,0,4,0,0,8,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,1,41,129,0,0,0,0,0,2,1,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,1,41,199,0,0,0,0,0,0,0,0,3,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,3,41,1,0,0,54,208,0,0,0,330,529,697,505,339,0,23,30/7/1996 0:00:00
1960,2,10,3,3,41,2,0,0,6,13,0,0,0,21,41,39,38,38,0,2,30/7/1996 0:00:00
1960,2,10,3,3,41,101,0,0,0,16,0,0,0,8,8,3,14,4,0,0,30/7/1996 0:00:00
1960,2,10,3,3,41,102,0,0,0,5,0,0,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,3,41,103,0,0,49,88,0,0,0,61,111,154,154,62,0,4,30/7/1996 0:00:00
1960,2,10,3,3,41,112,0,0,0,10,0,0,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,3,41,114,0,0,2,8,0,0,0,0,0,0,1,0,0,0,30/7/1996 0:00:00
1960,2,10,3,3,41,120,0,0,0,4,0,0,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,3,41,188,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30/7/1996 0:00:00
1960,2,10,3,3,41,199,0,0,0,0,0,0,0,2,0,2,0,0,0,0,30/7/1996 0:00:00
1960,2,10,4,1,41,1,0,0,0,0,0,0,113,90,1403,2096,206,0,32,0,30/7/1996 0:00:00
1960,2,10,4,1,41,2,0,0,0,0,0,0,10,5,103,162,17,0,3,0,30/7/1996 0:00:00
1960,2,10,4,1,41,101,0,0,0,0,0,0,59,101,1673,2808,93,0,8,0,30/7/1996 0:00:00
1960,2,10,4,1,41,102,0,0,0,0,0,0,0,0,0,1,0,0,7,0,30/7/1996 0:00:00
1960,2,10,4,1,41,103,0,0,0,0,0,0,12,0,79,71,38,0,0,0,30/7/1996 0:00:00
